Call Open Interest,Call Volume,Call Theta,Call Vega,Call Gamma,Call Delta,Call Ask,Strike,Put Ask,Put Delta,Put Gamma,Put Vega,Put Theta,Put Volume,Put Open Interest
970,421,-3.555,1.632,0.433,46,32.5,3880,40.75,53,0.436,1.632,-3.552,66,444
374,186,-3.392,1.622,0.437,44,29.75,3885,43,55,0.439,1.622,-3.388,49,392
411,442,-3.222,1.606,0.44,42,27,3890,45.5,57,0.44,1.606,-3.223,35,722
252,119,-3.051,1.585,0.441,39,24.5,3895,47.75,60,0.443,1.584,-3.045,19,150
1720,1365,-2.881,1.558,0.438,37,22.25,3900,50.5,62,0.44,1.557,-2.875,84,608
380,90,-2.696,1.522,0.438,35,19.75,3905,53.25,65,0.437,1.522,-2.698,116,236
549,326,-2.522,1.482,0.431,32,17.75,3910,56,67,0.433,1.48,-2.515,2,211
514,248,-2.343,1.435,0.424,30,15.75,3915,59,69,0.426,1.433,-2.335,212,219
820,978,-2.171,1.383,0.413,28,14,3920,62.25,72,0.415,1.381,-2.162,5,178
347,395,-4.969,1.489,0.334,66,69.5,3825,23.25,32,0.34,1.483,-4.989,111,1152
375,287,-4.864,1.515,0.344,65,65.75,3830,24.5,34,0.35,1.511,-4.882,67,303
212,342,-4.756,1.539,0.355,63,62,3835,25.75,36,0.361,1.536,-4.772,123,329
659,417,-4.639,1.562,0.364,62,58.5,3840,27,37,0.373,1.558,-4.657,247,533
437,223,-4.522,1.582,0.375,60,54.75,3845,28.5,39,0.382,1.58,-4.533,47,963
1506,317,-4.261,1.614,0.389,56,48.43,3850,32.16,43,0.396,1.614,-4.267,269,981
429,145,-4.401,1.598,0.389,58,50.83,3855,29.59,41,0.397,1.597,-4.41,80,354
962,138,-4.128,1.625,0.401,54,44.75,3860,33.5,45,0.409,1.625,-4.131,225,381
379,197,-3.986,1.633,0.409,52,41.5,3865,35.25,47,0.417,1.633,-3.986,237,843
554,192,-3.838,1.637,0.418,50,38.25,3870,37,49,0.426,1.637,-3.836,43,627
644,247,-3.685,1.636,0.424,48,35.25,3875,39,51,0.433,1.636,-3.679,70,426
970,421,-3.526,1.63,0.43,46,32.25,3880,41.25,53,0.436,1.63,-3.52,66,444
374,186,-3.363,1.619,0.434,44,29.5,3885,43.5,56,0.439,1.619,-3.355,49,392
411,442,-3.199,1.603,0.434,41,27,3890,46,58,0.44,1.602,-3.188,35,722
252,119,-3.029,1.581,0.435,39,24.5,3895,48.25,60,0.443,1.578,-3.009,19,150
1720,1365,-2.852,1.552,0.435,37,22,3900,51,63,0.44,1.55,-2.837,84,608
380,90,-2.677,1.517,0.432,34,19.75,3905,54,65,0.434,1.516,-2.67,116,236
549,326,-2.493,1.474,0.428,32,17.5,3910,56.75,67,0.43,1.473,-2.486,2,211
514,248,-2.314,1.426,0.421,30,15.5,3915,60,70,0.42,1.428,-2.319,212,219
820,979,-2.141,1.373,0.41,27,13.75,3920,63,72,0.412,1.371,-2.133,5,178
347,395,-5.049,1.469,0.334,68,70.75,3825,22.5,32,0.335,1.468,-5.051,111,1152
375,287,-4.944,1.497,0.344,66,67,3830,23.75,33,0.345,1.496,-4.946,67,303
212,342,-4.836,1.523,0.355,64,63.25,3835,25,35,0.356,1.523,-4.838,123,329
659,417,-4.719,1.548,0.364,63,59.75,3840,26.25,36,0.367,1.547,-4.725,247,533
437,223,-4.603,1.57,0.376,61,56,3845,27.75,38,0.376,1.57,-4.604,47,963
1506,317,-4.342,1.607,0.39,57,49.62,3850,31.36,42,0.391,1.607,-4.343,269,981
429,147,-4.483,1.589,0.389,59,52.13,3855,28.65,40,0.392,1.588,-4.486,80,354
962,138,-4.211,1.62,0.404,56,45.75,3860,32.5,44,0.405,1.62,-4.211,225,381
379,199,-4.069,1.63,0.413,54,42.5,3865,34.25,46,0.413,1.63,-4.069,239,843
554,193,-3.922,1.636,0.419,51,39.5,3870,36,48,0.422,1.636,-3.922,43,627
644,247,-3.769,1.638,0.428,49,36.25,3875,38,50,0.428,1.638,-3.769,72,426
970,421,-3.613,1.635,0.431,47,33.5,3880,40,52,0.434,1.635,-3.61,66,444
374,186,-3.448,1.627,0.438,45,30.5,3885,42.25,54,0.438,1.627,-3.448,49,392
411,442,-3.279,1.613,0.442,43,27.75,3890,44.5,57,0.441,1.613,-3.28,35,722
252,119,-3.11,1.593,0.442,40,25.25,3895,47,59,0.442,1.593,-3.111,19,150
1720,1365,-2.933,1.567,0.442,38,22.75,3900,49.5,61,0.442,1.567,-2.935,84,608
380,90,-2.758,1.535,0.439,35,20.5,3905,52.25,64,0.438,1.535,-2.761,116,236
549,326,-2.576,1.495,0.436,33,18.25,3910,55,66,0.435,1.496,-2.579,2,211
514,248,-2.398,1.45,0.429,31,16.25,3915,58,69,0.428,1.451,-2.402,212,219
820,979,-2.226,1.401,0.418,28,14.5,3920,61.25,71,0.417,1.402,-2.232,5,178
375,287,-5.007,1.482,0.339,67,69,3830,23,32,0.34,1.482,-5.01,67,303
212,342,-4.901,1.51,0.349,65,65.25,3835,24.25,34,0.35,1.509,-4.903,123,329
659,417,-4.791,1.535,0.36,64,61.5,3840,25.75,35,0.359,1.536,-4.787,247,533
437,223,-4.676,1.558,0.372,62,57.75,3845,27,37,0.37,1.559,-4.673,47,963
1506,317,-4.553,1.579,0.382,60,54.25,3850,28.5,39,0.38,1.58,-4.55,269,981
429,147,-4.287,1.614,0.396,57,47.91,3855,32.15,43,0.394,1.614,-4.285,80,354
962,138,-4.433,1.597,0.399,59,50.1,3860,29.6,41,0.394,1.598,-4.427,225,381
379,199,-4.152,1.626,0.411,55,44,3865,33.25,45,0.409,1.626,-4.151,239,843
554,193,-4.007,1.634,0.42,53,40.75,3870,35.25,47,0.415,1.634,-4.006,43,627
644,247,-3.856,1.639,0.426,51,37.75,3875,37,49,0.423,1.639,-3.857,72,426
970,428,-3.7,1.638,0.433,48,34.75,3880,39,51,0.43,1.638,-3.702,66,444
374,187,-3.537,1.633,0.439,46,31.75,3885,41.25,53,0.433,1.633,-3.543,49,392
411,442,-3.371,1.622,0.443,44,29,3890,43.5,55,0.436,1.622,-3.38,35,722
252,119,-3.203,1.605,0.443,42,26.5,3895,45.75,58,0.44,1.606,-3.21,19,150
1720,1365,-3.03,1.583,0.444,39,24,3900,48.25,60,0.44,1.584,-3.038,84,608
380,90,-2.849,1.553,0.444,37,21.5,3905,51,62,0.437,1.556,-2.868,116,236
549,326,-2.669,1.517,0.441,34,19.25,3910,53.75,65,0.434,1.522,-2.692,2,211
514,248,-2.494,1.476,0.434,32,17.25,3915,56.5,67,0.43,1.479,-2.509,212,219
820,981,-2.311,1.427,0.426,29,15.25,3920,59.75,69,0.42,1.435,-2.343,5,178
937,353,-2.136,1.373,0.416,27,13.5,3925,63,72,0.41,1.384,-2.172,43,29
375,287,-4.971,1.491,0.335,66,69.25,3830,23.0,32,0.343,1.484,-4.997,67,303
212,342,-4.866,1.517,0.345,65,65.5,3835,24.25,34,0.353,1.511,-4.89,123,329
659,417,-4.762,1.54,0.358,63,61.5,3840,25.75,36,0.362,1.538,-4.773,247,533
437,223,-4.648,1.563,0.369,62,57.75,3845,27.0,37,0.374,1.561,-4.658,47,963
1506,317,-4.526,1.583,0.379,60,54.25,3850,28.5,39,0.384,1.582,-4.533,269,981
429,147,-4.262,1.616,0.392,56,47.93,3855,32.16,43,0.398,1.616,-4.266,80,354
962,148,-4.404,1.6,0.393,58,50.32,3860,29.59,41,0.398,1.599,-4.409,241,381
379,199,-4.128,1.627,0.407,54,44.0,3865,33.5,45,0.41,1.627,-4.129,266,843
554,193,-3.984,1.635,0.413,52,41.0,3870,35.25,47,0.419,1.635,-3.984,43,627
644,247,-3.834,1.638,0.422,50,37.75,3875,37.25,49,0.425,1.638,-3.833,72,426
970,428,-3.679,1.637,0.428,48,34.75,3880,39.25,51,0.431,1.637,-3.677,66,444
374,187,-3.52,1.631,0.432,46,32.0,3885,41.25,53,0.438,1.631,-3.514,49,392
411,442,-3.356,1.62,0.435,44,29.25,3890,43.5,56,0.441,1.619,-3.348,35,722
252,119,-3.186,1.603,0.439,41,26.5,3895,45.75,58,0.444,1.602,-3.175,19,150
1720,1365,-3.013,1.58,0.439,39,24.0,3900,48.25,60,0.445,1.578,-3.001,84,608
380,90,-2.834,1.549,0.439,36,21.5,3905,51.0,63,0.442,1.548,-2.827,116,236
549,326,-2.655,1.513,0.436,34,19.25,3910,54.0,65,0.435,1.514,-2.658,2,211
514,248,-2.48,1.472,0.429,32,17.25,3915,57.0,67,0.428,1.473,-2.484,212,219
820,981,-2.299,1.423,0.422,29,15.25,3920,60.0,70,0.421,1.424,-2.304,5,178
937,353,-2.125,1.369,0.411,27,13.5,3925,63.0,72,0.413,1.366,-2.116,43,29
347,395,-5.064,1.465,0.33,68,71.75,3825,22.5,31,0.331,1.464,-5.067,115,1152
375,287,-4.967,1.491,0.342,66,67.75,3830,23.75,33,0.341,1.492,-4.963,67,303
212,342,-4.859,1.518,0.353,65,64.0,3835,25.0,34,0.351,1.519,-4.856,123,329
659,417,-4.748,1.542,0.364,63,60.25,3840,26.25,36,0.362,1.543,-4.744,247,533
437,223,-4.628,1.565,0.373,61,56.75,3845,27.75,38,0.372,1.566,-4.625,47,963
1506,317,-4.369,1.604,0.388,58,50.35,3850,31.34,42,0.386,1.604,-4.367,269,981
429,147,-4.512,1.584,0.389,60,52.65,3855,28.66,39,0.387,1.585,-4.509,80,354
962,148,-4.241,1.617,0.404,56,46.25,3860,32.5,43,0.399,1.618,-4.238,241,381
379,199,-4.099,1.628,0.41,54,43.25,3865,34.25,45,0.408,1.628,-4.098,266,843
554,193,-3.953,1.635,0.419,52,40.0,3870,36.0,47,0.416,1.635,-3.953,43,627
644,247,-3.802,1.638,0.425,50,37.0,3875,38.0,49,0.422,1.638,-3.803,72,426
970,428,-3.645,1.636,0.431,48,34.0,3880,40.0,52,0.428,1.636,-3.647,68,444
374,187,-3.481,1.628,0.438,45,31.0,3885,42.25,54,0.432,1.629,-3.488,49,392
411,442,-3.314,1.616,0.442,43,28.25,3890,44.5,56,0.435,1.616,-3.323,35,722
252,119,-3.145,1.597,0.442,41,25.75,3895,47.0,58,0.435,1.599,-3.158,19,150
1720,1366,-2.97,1.572,0.442,38,23.25,3900,49.5,61,0.436,1.575,-2.986,84,608
380,90,-2.796,1.542,0.439,36,21.0,3905,52.0,63,0.436,1.544,-2.807,116,236
549,326,-2.616,1.504,0.436,34,18.75,3910,55.0,65,0.429,1.509,-2.64,2,211
514,248,-2.439,1.461,0.429,31,16.75,3915,58.0,68,0.423,1.468,-2.467,212,219
820,981,-2.256,1.41,0.421,29,14.75,3920,61.0,70,0.415,1.419,-2.289,5,178
347,395,-5.0,1.481,0.332,67,70.25,3825,23.25,32,0.335,1.478,-5.009,115,1152
375,288,-4.896,1.507,0.343,65,66.5,3830,24.5,34,0.345,1.505,-4.904,67,303
212,342,-4.789,1.532,0.353,64,62.75,3835,25.75,35,0.356,1.531,-4.795,123,329
659,417,-4.672,1.556,0.362,62,59.25,3840,27.0,37,0.367,1.554,-4.682,247,533
437,223,-4.556,1.576,0.374,60,55.5,3845,28.5,39,0.377,1.575,-4.561,47,963
1506,317,-4.297,1.611,0.388,57,49.15,3850,32.14,42,0.39,1.61,-4.299,269,981
429,147,-4.436,1.594,0.387,59,51.6,3855,29.61,40,0.39,1.593,-4.439,80,354
962,148,-4.164,1.622,0.399,55,45.5,3860,33.25,44,0.405,1.622,-4.167,251,381
379,209,-4.023,1.631,0.408,53,42.25,3865,35.25,46,0.41,1.631,-4.024,266,843
554,193,-3.877,1.636,0.416,51,39.0,3870,37.0,48,0.419,1.636,-3.876,43,627
644,247,-3.725,1.636,0.422,49,36.0,3875,39.0,51,0.425,1.636,-3.724,72,426
970,428,-3.567,1.632,0.429,47,33.0,3880,41.25,53,0.429,1.632,-3.567,68,444
374,187,-3.406,1.622,0.432,44,30.25,3885,43.25,55,0.435,1.622,-3.403,49,392
411,442,-3.238,1.607,0.436,42,27.5,3890,45.75,57,0.435,1.607,-3.239,35,722
252,119,-3.07,1.586,0.436,40,25.0,3895,48.0,60,0.439,1.585,-3.064,19,150
1720,1366,-2.894,1.559,0.436,37,22.5,3900,50.75,62,0.436,1.559,-2.896,84,608
380,90,-2.72,1.526,0.433,35,20.25,3905,53.5,64,0.432,1.526,-2.722,116,236
549,326,-2.549,1.487,0.427,33,18.25,3910,56.25,67,0.429,1.486,-2.542,2,211
514,248,-2.373,1.442,0.42,30,16.25,3915,59.25,69,0.422,1.44,-2.365,212,219
820,981,-2.189,1.388,0.412,28,14.25,3920,62.25,71,0.414,1.386,-2.181,5,178
375,288,-4.989,1.486,0.34,67,68.5,3830,23.0,32,0.343,1.483,-4.997,67,303
212,342,-4.877,1.514,0.349,65,65.0,3835,24.25,34,0.353,1.511,-4.89,123,329
659,417,-4.767,1.539,0.36,63,61.25,3840,25.75,36,0.362,1.537,-4.773,249,533
437,223,-4.652,1.561,0.371,62,57.5,3845,27.0,37,0.374,1.56,-4.658,47,963
1506,317,-4.529,1.582,0.381,60,54.0,3850,28.5,39,0.384,1.581,-4.533,269,981
429,147,-4.264,1.615,0.395,56,47.68,3855,32.16,43,0.398,1.615,-4.266,80,354
962,148,-4.406,1.599,0.395,58,50.08,3860,29.59,41,0.398,1.599,-4.409,251,381
379,211,-4.129,1.626,0.41,54,43.75,3865,33.5,45,0.41,1.626,-4.129,266,843
554,193,-3.984,1.634,0.416,52,40.75,3870,35.25,47,0.419,1.634,-3.984,43,627
644,247,-3.833,1.638,0.425,50,37.5,3875,37.25,49,0.425,1.638,-3.833,72,426
970,428,-3.677,1.637,0.431,48,34.5,3880,39.25,51,0.431,1.637,-3.677,68,444
374,187,-3.517,1.63,0.435,46,31.75,3885,41.25,53,0.438,1.63,-3.514,64,392
411,442,-3.352,1.619,0.438,44,29.0,3890,43.5,56,0.441,1.619,-3.348,35,722
252,174,-3.18,1.602,0.442,41,26.25,3895,46.0,58,0.441,1.602,-3.181,19,150
1720,1366,-3.006,1.578,0.442,39,23.75,3900,48.5,60,0.442,1.578,-3.008,84,608
380,90,-2.834,1.549,0.439,36,21.5,3905,51.0,63,0.442,1.548,-2.827,116,236
549,326,-2.655,1.513,0.436,34,19.25,3910,53.75,65,0.438,1.511,-2.648,2,211
514,248,-2.469,1.469,0.432,32,17.0,3915,56.75,68,0.431,1.47,-2.473,212,219
820,1022,-2.299,1.422,0.422,29,15.25,3920,60.0,70,0.421,1.424,-2.304,5,178
937,353,-2.125,1.368,0.411,27,13.5,3925,63.0,72,0.413,1.366,-2.116,48,29
347,395,-5.06,1.465,0.331,68,71.5,3825,22.5,31,0.332,1.464,-5.063,115,1152
375,288,-4.962,1.492,0.343,66,67.5,3830,23.75,33,0.342,1.493,-4.959,67,303
212,342,-4.855,1.518,0.354,65,63.75,3835,25.0,35,0.353,1.519,-4.851,123,329
659,417,-4.743,1.543,0.365,63,60.0,3840,26.5,36,0.361,1.544,-4.735,249,533
437,223,-4.623,1.566,0.375,61,56.5,3845,27.75,38,0.373,1.566,-4.619,47,963
1506,317,-4.363,1.604,0.389,58,50.11,3850,31.35,42,0.387,1.604,-4.361,269,981
429,147,-4.506,1.584,0.39,60,52.4,3855,28.91,40,0.386,1.585,-4.5,80,354
962,150,-4.233,1.617,0.403,56,46.25,3860,32.5,43,0.401,1.617,-4.231,251,381
379,211,-4.092,1.628,0.411,54,43.0,3865,34.25,45,0.409,1.628,-4.091,266,843
554,193,-3.945,1.635,0.42,52,39.75,3870,36.25,47,0.415,1.635,-3.946,43,627
644,257,-3.793,1.637,0.426,50,36.75,3875,38.0,50,0.424,1.637,-3.795,72,426
970,428,-3.636,1.635,0.433,47,33.75,3880,40.25,52,0.427,1.635,-3.64,68,444
374,187,-3.475,1.627,0.436,45,31.0,3885,42.25,54,0.433,1.628,-3.478,64,392
411,442,-3.303,1.614,0.443,43,28.0,3890,44.5,56,0.437,1.615,-3.313,35,722
252,174,-3.133,1.595,0.444,41,25.5,3895,47.0,58,0.437,1.597,-3.146,19,150
1720,1366,-2.965,1.571,0.441,38,23.25,3900,49.5,61,0.437,1.572,-2.974,84,608
380,90,-2.782,1.539,0.441,36,20.75,3905,52.25,63,0.434,1.542,-2.802,116,236
549,327,-2.611,1.502,0.434,34,18.75,3910,55.5,65,0.425,1.509,-2.645,2,211
514,248,-2.423,1.456,0.43,31,16.5,3915,58.0,68,0.424,1.463,-2.451,212,219
820,1022,-2.252,1.408,0.42,29,14.75,3920,61.5,70,0.411,1.421,-2.298,5,178
347,395,-5.05,1.468,0.33,68,71.5,3825,22.5,31,0.333,1.465,-5.059,115,1152
375,288,-4.947,1.496,0.34,66,67.75,3830,23.75,33,0.343,1.493,-4.955,67,303
212,342,-4.84,1.522,0.351,65,64.0,3835,25.0,35,0.354,1.52,-4.847,123,329
659,417,-4.729,1.545,0.362,63,60.25,3840,26.25,36,0.365,1.544,-4.735,249,533
437,223,-4.609,1.568,0.371,61,56.75,3845,27.75,38,0.374,1.567,-4.614,47,963
1506,317,-4.352,1.605,0.385,57,50.37,3850,31.35,42,0.388,1.605,-4.355,269,981
429,147,-4.494,1.586,0.387,60,52.64,3855,28.65,40,0.389,1.585,-4.498,84,354
962,150,-4.223,1.618,0.399,56,46.5,3860,32.5,44,0.402,1.618,-4.225,261,381
379,212,-4.083,1.628,0.407,54,43.25,3865,34.25,45,0.41,1.628,-4.084,266,843
554,193,-3.938,1.635,0.416,52,40.0,3870,36.0,48,0.419,1.635,-3.938,43,627
644,258,-3.787,1.637,0.422,50,37.0,3875,38.0,50,0.425,1.637,-3.786,82,426
970,428,-3.631,1.634,0.429,47,34.0,3880,40.0,52,0.431,1.634,-3.629,68,444
374,187,-3.468,1.627,0.435,45,31.0,3885,42.25,54,0.435,1.627,-3.468,64,392
411,442,-3.301,1.614,0.439,43,28.25,3890,44.5,56,0.438,1.614,-3.302,35,722
252,174,-3.133,1.595,0.439,41,25.75,3895,46.75,59,0.441,1.594,-3.128,19,150
1720,1366,-2.959,1.57,0.439,38,23.25,3900,49.25,61,0.442,1.569,-2.953,84,608
380,90,-2.786,1.539,0.436,36,21.0,3905,52.0,63,0.438,1.538,-2.78,116,236
549,327,-2.607,1.501,0.433,33,18.75,3910,55.0,66,0.432,1.502,-2.61,2,211
514,248,-2.431,1.458,0.426,31,16.75,3915,57.75,68,0.428,1.456,-2.423,212,219
820,1022,-2.248,1.406,0.419,29,14.75,3920,61.0,70,0.418,1.408,-2.254,5,178
347,395,-5.038,1.47,0.333,67,70.75,3825,23.0,32,0.332,1.471,-5.035,115,1152
375,288,-4.94,1.496,0.345,66,66.75,3830,24.25,33,0.342,1.499,-4.93,67,303
212,342,-4.826,1.524,0.354,64,63.25,3835,25.5,35,0.353,1.525,-4.823,124,329
659,417,-4.714,1.548,0.365,63,59.5,3840,26.75,37,0.364,1.548,-4.711,249,533
